"day","hour","slotno"
"FRI","H8","A4"
"FRI","H1","M3"
"FRI","H2","M6"
"FRI","H3","M5"
"FRI","H4","M8"
"FRI","H5","M2"
"FRI","H6","A3"
"FRI","H7","A4"
"FRI","H8","N"
"FRI","H7","A3"
"FRI","H6","A2"
"FRI","H5","M6"
"FRI","H4","M5"
"FRI","H3","M2"
"FRI","H2","M8"
"FRI","H1","M3"
"MON","H1","M4"
"MON","H8","A5"
"MON","H7","A1"
"MON","H6","A2"
"MON","H5","M6"
"MON","H4","M3"
"MON","H3","M1"
"MON","H2","M7"
"MON","H2","M7"
"MON","H3","M1"
"MON","H4","M3"
"MON","H5","M6"
"MON","H6","A2"
"MON","H7","A1"
"MON","H8","N"
"THU","H7","A5"
"THU","H1","M7"
"THU","H2","M1"
"THU","H3","M2"
"THU","H4","M4"
"THU","H5","M5"
"THU","H6","N"
"THU","H7","A5"
"THU","H8","A1"
"THU","H1","M7"
"THU","H2","M1"
"THU","H3","M2"
"THU","H4","M4"
"THU","H5","M5"
"THU","H6","A4"
"THU","H8","A1"
"TUE","H1","M8"
"TUE","H2","N"
"TUE","H3","M2"
"TUE","H4","M1"
"TUE","H5","M5"
"TUE","H6","A5"
"TUE","H7","A4"
"TUE","H8","A3"
"TUE","H7","A4"
"TUE","H6","N"
"TUE","H5","M5"
"TUE","H4","M1"
"TUE","H3","M2"
"TUE","H2","N"
"TUE","H1","M8"
"TUE","H8","A5"
"WED","H2","M3"
"WED","H8","N"
"WED","H7","A2"
"WED","H6","A3"
"WED","H5","M6"
"WED","H4","M4"
"WED","H1","M8"
"WED","H3","M7"
"WED","H1","M8"
"WED","H2","M3"
"WED","H3","M7"
"WED","H4","M4"
"WED","H5","M6"
"WED","H6","A1"
"WED","H7","A2"
"WED","H8","A3"
